"","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOLS"
"SH3YL1",0.95303587804322,4.5444207528705,6.68389927034388,1.39329620172201e-06,0.0295490258461203,4.46301556856522,"SH3YL1"
"CCDC91",0.601286728347619,3.7478249422785,5.56956513257876,1.66671441170794e-05,0.122170758898521,2.57820439837938,"CCDC91"
"KIR2DL3",-0.508897290170912,3.63332563256544,-5.50163086045718,1.94790865904172e-05,0.122170758898521,2.45664804939493,"KIR2DL3"
"FAM241A",0.826609133375668,4.53529937356263,5.42865290379983,2.30423913426106e-05,0.122170758898521,2.32528665358002,"FAM241A"
"TOGARAM1",0.977933209382045,4.47958172026463,5.149057688791,4.40619191620149e-05,0.180582742680744,1.81487324789188,"TOGARAM1"
"RRM2B",0.507647898802645,3.63785338980463,5.03286939477101,5.77983402746157e-05,0.180582742680744,1.59963913953108,"RRM2B"
"EDEM3",1.03342038851193,5.65796130498385,5.01972713963265,5.96038852680691e-05,0.180582742680744,1.57518534852764,"EDEM3"
"TMEM106B",0.376543648405812,3.61125511736391,4.85080025256355,8.86068919571793e-05,0.208507130553178,1.25901270366973,"TMEM106B"
"TMEM135",0.38574885616311,3.77057737360583,4.64569097762423,0.000143740705280878,0.208507130553178,0.870896788848142,"TMEM135"
"GPBP1L1",0.728258111840417,4.22537122031309,4.61800462399146,0.000153466698071154,0.208507130553178,0.818190133434664,"GPBP1L1"
"ZNF516",-0.295863197780544,3.30584794187491,-4.59201052973058,0.000163201487000015,0.208507130553178,0.768641969513264,"ZNF516"
"COG3",0.511732124514122,4.21010058588779,4.56574957717688,0.000173668449769403,0.208507130553178,0.718524924172121,"COG3"
"PHYH",1.05002098578468,5.41326052567818,4.56217782636919,0.00017514337205781,0.208507130553178,0.711703931678154,"PHYH"
"TIGD7",0.434637011100347,3.72667089457261,4.55352264980039,0.000178769987554856,0.208507130553178,0.695170617335647,"TIGD7"
"RPRD1A",0.647370175458298,4.86063596534731,4.53267853581519,0.000187817329697304,0.208507130553178,0.655328065251693,"RPRD1A"
"PCMTD1",0.672717959095574,4.81644231812509,4.53199248693527,0.000188122819322057,0.208507130553178,0.654016106266913,"PCMTD1"
"TMEM263",0.510304575839468,3.98416051104938,4.51233223937036,0.000197093088259879,0.208507130553178,0.616402828124149,"TMEM263"
"EIF3A",0.966513751037869,6.85917141192331,4.50355595087372,0.000201235181018588,0.208507130553178,0.599602374258328,"EIF3A"
"IBTK",0.797175939460557,5.64289818714472,4.45572668459546,0.000225397483863501,0.208507130553178,0.507938263486301,"IBTK"
"PURA",0.299533490332277,3.5207965563079,4.41987113129085,0.000245406318662913,0.208507130553178,0.439110823065561,"PURA"
"SNORD89",-0.492300146610529,3.89535498476938,-4.394219488553,0.000260807437896294,0.208507130553178,0.389815520456723,"SNORD89"
"RASGRP3",0.614830882379938,4.35845775005984,4.37969107861386,0.000269957054374235,0.208507130553178,0.36187645026537,"RASGRP3"
"TAB3",-0.257253299539873,3.34095585825419,-4.35641341627286,0.000285293326714194,0.208507130553178,0.317083659838222,"TAB3"
"RRAGB",0.667280891799825,4.64725473286525,4.35442843819592,0.000286640894912802,0.208507130553178,0.313262426017805,"RRAGB"
"SNAP23",0.492651615969493,4.00616365089844,4.35285823492355,0.000287711402895343,0.208507130553178,0.31023949277633,"SNAP23"
"C18orf32",0.68515978773935,4.5416404458263,4.34733110670317,0.000291511615469024,0.208507130553178,0.29959753837282,"C18orf32"
"ELOVL6",0.3919397226948,3.71278892898478,4.34480898831378,0.00029326240949846,0.208507130553178,0.294740822017768,"ELOVL6"
"NABP1",0.794957624541109,6.04771050322943,4.33495185825628,0.000300206774531669,0.208507130553178,0.275755761969333,"NABP1"
"JUN",1.34863114409711,8.67847068187887,4.33472203072052,0.000300370641481027,0.208507130553178,0.275313039479136,"JUN"
"TRAPPC10",0.475495253963122,4.07914270104809,4.32875388679601,0.000304657486674713,0.208507130553178,0.26381536098005,"TRAPPC10"
"EPB41L2",0.512513336132687,3.88052142018591,4.31673310827983,0.000313479046755792,0.208507130553178,0.24065091250519,"EPB41L2"
"RDH11",0.916666607991839,5.304533357498,4.30103891597943,0.000325383057387202,0.208507130553178,0.210395256946045,"RDH11"
"ROCK1",0.478303086575965,3.83991156272411,4.29039120864844,0.000333716332233259,0.208507130553178,0.189860556322345,"ROCK1"
"GRIA2",-0.187749857065992,3.19861474393865,-4.28969060985731,0.000334272087835159,0.208507130553178,0.188509196032233,"GRIA2"
"ITGA6",0.452579351492963,3.98916232172083,4.27235018908842,0.000348327055372241,0.211066291152414,0.155053548112842,"ITGA6"
"TRMT1L",0.424196781232737,3.57710197411129,4.2415235186003,0.000374790955760704,0.216675497857336,0.095540299586129,"TRMT1L"
"MBNL2",0.369050040723415,3.6711225065638,4.22718901192375,0.000387773604205978,0.216675497857336,0.0678507372251236,"MBNL2"
"RWDD4",0.821295566022409,5.30731783674295,4.2225803954438,0.000392042497697268,0.216675497857336,0.0589463787602309,"RWDD4"
"MB21D2",1.1177414829314,5.15883562938183,4.21575557363267,0.0003984507929289,0.216675497857336,0.0457583001672273,"MB21D2"
"C15orf40",0.639051474052675,4.5145209973068,4.20348492208396,0.000410237387082559,0.217507862631173,0.0220416850201381,"C15orf40"
"FAM13B",0.937717508906718,6.73998961565345,4.17534067662839,0.000438605841874388,0.226876894987122,-0.0323792490473185,"FAM13B"
"SAR1A",0.885810623023505,5.75874145561444,4.12213273641752,0.000497706604556498,0.231987030130434,-0.135346573468452,"SAR1A"
"GNA13",0.836903602878646,5.24752453351943,4.11004898516793,0.000512200995369502,0.231987030130434,-0.158744188834236,"GNA13"
"CCL4",-0.478162449713372,3.77803622071379,-4.10983811390593,0.000512457641611956,0.231987030130434,-0.159152535966094,"CCL4"
"SP4",0.989884828962423,5.6558432221123,4.10412619707634,0.000519458538459422,0.231987030130434,-0.170214030278996,"SP4"
"TMEM30A",1.07506723288531,4.99139961868811,4.08867075683891,0.000538884210267199,0.231987030130434,-0.200149199811525,"TMEM30A"
"SMNDC1",0.631634074069581,5.20249095335983,4.08681982682001,0.00054125871098728,0.231987030130434,-0.203734653876456,"SMNDC1"
"ICOS",0.824642411702487,9.00628145967859,4.08372888496054,0.000545247288584727,0.231987030130434,-0.209722351111195,"ICOS"
"EIF4A2",0.528056581906693,9.65093033629789,4.06833836779859,0.000565548261142377,0.231987030130434,-0.239540155913248,"EIF4A2"
"BTAF1",0.833183419259269,6.66029477589398,4.06806492080251,0.000565915690939194,0.231987030130434,-0.240069989321733,"BTAF1"
"CHRNB3",-0.259517695121427,3.27833995636695,-4.06278564884752,0.00057305630087066,0.231987030130434,-0.250299505454014,"CHRNB3"
"MMD",0.730241960474458,4.7352813470855,4.05934958904888,0.000577752046788885,0.231987030130434,-0.256957825900271,"MMD"
"ZNF365",0.694631926691295,4.22253238053362,4.05442730012052,0.000584545838908366,0.231987030130434,-0.266496597436564,"ZNF365"
"CCDC85C",0.475095651849749,4.25993023106562,4.03961486769273,0.000605474516901701,0.231987030130434,-0.295204382254063,"CCDC85C"
"ZNF16",0.59305926656246,4.19882087997419,4.03678487254063,0.000609557259295782,0.231987030130434,-0.300689673416118,"ZNF16"
"KCTD18",0.506876603225094,4.38285888409068,4.03471224641026,0.000612564772128644,0.231987030130434,-0.304707079570626,"KCTD18"
"TMEM44",0.688074588392767,4.19103762679904,4.01123668264283,0.000647679513942724,0.240982230380654,-0.350215625824313,"TMEM44"
"FUT1",0.175190847538912,3.17544308868388,3.98806302198281,0.000684309084606967,0.243789801948156,-0.395147461251403,"FUT1"
"STK36",1.22540200625066,6.17991177706403,3.97978629038229,0.000697885850918746,0.243789801948156,-0.411197066833701,"STK36"
"ASB13",0.545235344194934,4.40854608671457,3.97064932223801,0.000713185374433939,0.243789801948156,-0.42891565243782,"ASB13"
"PSMD5",0.406180644583472,4.04711837862307,3.97033078662081,0.000713724732312084,0.243789801948156,-0.429533378080691,"PSMD5"
"AMY2B",0.527008132380337,4.09210530999987,3.9695992947041,0.000714964862595548,0.243789801948156,-0.430951939966712,"AMY2B"
"ENPP4",0.262127430551762,3.45544501416955,3.96419342657405,0.000724196412803368,0.243789801948156,-0.441435542722687,"ENPP4"
"GTPBP8",0.581098813934651,4.49916717110768,3.9559563229072,0.0007384914538063,0.244717605505063,-0.457410239973324,"GTPBP8"
"SMIM12",0.761407230572302,4.73049452052007,3.9421539802557,0.000763076835642913,0.245685841844613,-0.48417900962277,"SMIM12"
"MAP4K5",0.629415969961611,4.94193776020022,3.94132313420028,0.000764582495367052,0.245685841844613,-0.485790418854766,"MAP4K5"
